web-scraper-order,web-scraper-start-url,detail,detail-href
"1650397023-16","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月11日，新增本土新冠肺炎确诊病例994例 新增本土无症状感染者22348例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院391例","https://wsjkw.sh.gov.cn/xwfb/20220412/eaf942f663204853826ee6fc29abbeb8.html"
"1650397023-1","https://wsjkw.sh.gov.cn/yqtb/index.html","4月18日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/GWI6LxYLHOvv1dioN5olxg"
"1650397023-6","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月16日，新增本土新冠肺炎确诊病例3238例 新增本土无症状感染者21582例 新增境外输入性新冠肺炎确诊病例2例 无新增境外输入性无症状感染者","https://wsjkw.sh.gov.cn/xwfb/20220417/00308b74d3b74d9894cf8e7746ac6d3b.html"
"1650397023-12","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月13日，新增本土新冠肺炎确诊病例2573例 新增本土无症状感染者25146例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例 治愈出院741例  解除医学观察15406例","https://wsjkw.sh.gov.cn/xwfb/20220414/083cc562d92d4641b8acf1eccaf38420.html"
"1650397023-18","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月10日，新增本土新冠肺炎确诊病例914例 新增本土无症状感染者25173例 新增境外输入性新冠肺炎确诊病例3例 治愈出院298例","https://wsjkw.sh.gov.cn/xwfb/20220411/f6021ae6ceb04596b4b8cde4c1e5511a.html"
"1650397023-4","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月17日，新增本土新冠肺炎确诊病例2417例 新增本土无症状感染者19831例 新增境外输入性新冠肺炎确诊病例3例 无新增境外输入性无症状感染者","https://wsjkw.sh.gov.cn/xwfb/20220418/5d14378ff19443cd82887f378e35066a.html"
"1650397023-17","https://wsjkw.sh.gov.cn/yqtb/index.html","4月10日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/u0XfHF8dgfEp8vGjRtcwXA"
"1650397023-10","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月14日，新增本土新冠肺炎确诊病例3200例 新增本土无症状感染者19872例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例 治愈出院549例  解除医学观察8071例","https://wsjkw.sh.gov.cn/xwfb/20220415/c68d08a1d5ac4ae3b8612559d19d489c.html"
"1650397023-7","https://wsjkw.sh.gov.cn/yqtb/index.html","4月15日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/ZkhimhWpa92I2EWn3hmd8w"
"1650397023-3","https://wsjkw.sh.gov.cn/yqtb/index.html","4月17日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/LguiUZj-zxy4xy19WO0_UA"
"1650397023-19","https://wsjkw.sh.gov.cn/yqtb/index.html","4月9日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/_Je5_5_HqBcs5chvH5SFfA"
"1650397023-9","https://wsjkw.sh.gov.cn/yqtb/index.html","4月14日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/5T76lht3s6g_KTiIx3XAYw"
"1650397023-11","https://wsjkw.sh.gov.cn/yqtb/index.html","4月13日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/L9AffT-SoEBV4puBa_mRqg"
"1650397023-14","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月12日，新增本土新冠肺炎确诊病例1189例 新增本土无症状感染者25141例 新增境外输入性新冠肺炎确诊病例1例 无新增境外输入性无症状感染者 治愈出院341例","https://wsjkw.sh.gov.cn/xwfb/20220413/56947d2bb86d433e8a6520825eeb66c0.html"
"1650397023-2","https://wsjkw.sh.gov.cn/yqtb/index.html","4月18日上海新增本土新冠肺炎确诊病例3084例（含既往无症状感染者转为确诊病例974例），本土无症状感染者17332例，实际新增本土阳性感染者19442例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者2例","https://wsjkw.sh.gov.cn/xwfb/20220419/2359900232d1440388ca8a482173e22c.html"
"1650397023-15","https://wsjkw.sh.gov.cn/yqtb/index.html","4月11日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/vxFiV2HeSvByINUlTmFKZA"
"1650397023-20","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月9日，新增本土新冠肺炎确诊病例1006例 新增本土无症状感染者23937例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院227例","https://wsjkw.sh.gov.cn/xwfb/20220410/95b812b6e8a649b49aca8382051957bf.html"
"1650397023-5","https://wsjkw.sh.gov.cn/yqtb/index.html","4月16日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/dRa-PExJr1qkRis88eGCnQ"
"1650397023-8","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月15日，新增本土新冠肺炎确诊病例3590例 新增本土无症状感染者19923例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者2例","https://wsjkw.sh.gov.cn/xwfb/20220416/dfbb15a0fe3b401dbead8b10995b3431.html"
"1650397023-13","https://wsjkw.sh.gov.cn/yqtb/index.html","【最新】4月12日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/OZGM-pNkefZqWr0IFRJj1g"
