web-scraper-order,web-scraper-start-url,detail,detail-href
"1650077658-49","https://wsjkw.sh.gov.cn/yqtb/index.html","4月11日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/vxFiV2HeSvByINUlTmFKZA"
"1650077658-58","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月7日，新增本土新冠肺炎确诊病例824例 新增本土无症状感染者20398例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者3例 治愈出院57例","https://wsjkw.sh.gov.cn/xwfb/20220408/779c3f24bc7e4f1fb3fef52dbfb51156.html"
"1650077658-46","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月13日，新增本土新冠肺炎确诊病例2573例 新增本土无症状感染者25146例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例 治愈出院741例  解除医学观察15406例","https://wsjkw.sh.gov.cn/xwfb/20220414/083cc562d92d4641b8acf1eccaf38420.html"
"1650077658-50","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月11日，新增本土新冠肺炎确诊病例994例 新增本土无症状感染者22348例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院391例","https://wsjkw.sh.gov.cn/xwfb/20220412/eaf942f663204853826ee6fc29abbeb8.html"
"1650077658-60","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月6日，新增本土新冠肺炎确诊病例322例 新增本土无症状感染者19660例 新增境外输入性新冠肺炎确诊病例7例 新增境外输入性无症状感染者1例 治愈出院47例","https://wsjkw.sh.gov.cn/xwfb/20220407/ca59cfd635a045c3b3cc4bd496b6eae2.html"
"1650077658-55","https://wsjkw.sh.gov.cn/yqtb/index.html","4月8日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/79NsKhMHbg09Y0xaybTXjA"
"1650077658-53","https://wsjkw.sh.gov.cn/yqtb/index.html","4月9日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/_Je5_5_HqBcs5chvH5SFfA"
"1650077658-43","https://wsjkw.sh.gov.cn/yqtb/index.html","4月14日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/5T76lht3s6g_KTiIx3XAYw"
"1650077658-54","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月9日，新增本土新冠肺炎确诊病例1006例 新增本土无症状感染者23937例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院227例","https://wsjkw.sh.gov.cn/xwfb/20220410/95b812b6e8a649b49aca8382051957bf.html"
"1650077658-48","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月12日，新增本土新冠肺炎确诊病例1189例 新增本土无症状感染者25141例 新增境外输入性新冠肺炎确诊病例1例 无新增境外输入性无症状感染者 治愈出院341例","https://wsjkw.sh.gov.cn/xwfb/20220413/56947d2bb86d433e8a6520825eeb66c0.html"
"1650077658-59","https://wsjkw.sh.gov.cn/yqtb/index.html","4月6日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/8bljTUplPh1q4MXb6wd_gg"
"1650077658-56","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月8日，新增本土新冠肺炎确诊病例1015例 新增本土无症状感染者22609例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者2例 治愈出院119例","https://wsjkw.sh.gov.cn/xwfb/20220409/52eee46f25a64af1a5f4e1ddb72c4324.html"
"1650077658-52","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月10日，新增本土新冠肺炎确诊病例914例 新增本土无症状感染者25173例 新增境外输入性新冠肺炎确诊病例3例 治愈出院298例","https://wsjkw.sh.gov.cn/xwfb/20220411/f6021ae6ceb04596b4b8cde4c1e5511a.html"
"1650077658-47","https://wsjkw.sh.gov.cn/yqtb/index.html","【最新】4月12日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/OZGM-pNkefZqWr0IFRJj1g"
"1650077658-42","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月15日，新增本土新冠肺炎确诊病例3590例 新增本土无症状感染者19923例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者2例","https://wsjkw.sh.gov.cn/xwfb/20220416/dfbb15a0fe3b401dbead8b10995b3431.html"
"1650077658-45","https://wsjkw.sh.gov.cn/yqtb/index.html","4月13日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/L9AffT-SoEBV4puBa_mRqg"
"1650077658-44","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月14日，新增本土新冠肺炎确诊病例3200例 新增本土无症状感染者19872例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例 治愈出院549例  解除医学观察8071例","https://wsjkw.sh.gov.cn/xwfb/20220415/c68d08a1d5ac4ae3b8612559d19d489c.html"
"1650077658-57","https://wsjkw.sh.gov.cn/yqtb/index.html","4月7日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/HTM47mUp0GF-tWXkPeZJlg"
"1650077658-41","https://wsjkw.sh.gov.cn/yqtb/index.html","4月15日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/ZkhimhWpa92I2EWn3hmd8w"
"1650077658-51","https://wsjkw.sh.gov.cn/yqtb/index.html","4月10日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/u0XfHF8dgfEp8vGjRtcwXA"
