web-scraper-order,web-scraper-start-url,detail,detail-href
"1649732786-63","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月3日，新增本土新冠肺炎确诊病例425例 新增本土无症状感染者8581例 新增境外输入性新冠肺炎确诊病例8例 新增境外输入性无症状感染者4例 治愈出院30例","https://wsjkw.sh.gov.cn/xwfb/20220404/b8e4ccf803f0481e84a84507accdb565.html"
"1649732786-57","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月6日，新增本土新冠肺炎确诊病例322例 新增本土无症状感染者19660例 新增境外输入性新冠肺炎确诊病例7例 新增境外输入性无症状感染者1例 治愈出院47例","https://wsjkw.sh.gov.cn/xwfb/20220407/ca59cfd635a045c3b3cc4bd496b6eae2.html"
"1649732786-49","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月10日，新增本土新冠肺炎确诊病例914例 新增本土无症状感染者25173例 新增境外输入性新冠肺炎确诊病例3例 治愈出院298例","https://wsjkw.sh.gov.cn/xwfb/20220411/f6021ae6ceb04596b4b8cde4c1e5511a.html"
"1649732786-51","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月9日，新增本土新冠肺炎确诊病例1006例 新增本土无症状感染者23937例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院227例","https://wsjkw.sh.gov.cn/xwfb/20220410/95b812b6e8a649b49aca8382051957bf.html"
"1649732786-48","https://wsjkw.sh.gov.cn/yqtb/index.html","4月10日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/u0XfHF8dgfEp8vGjRtcwXA"
"1649732786-50","https://wsjkw.sh.gov.cn/yqtb/index.html","4月9日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/_Je5_5_HqBcs5chvH5SFfA"
"1649732786-60","https://wsjkw.sh.gov.cn/yqtb/index.html","4月4日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://wsjkw.sh.gov.cn/xwfb/20220405/4c6aec72ef47453ba2a5643fad214b2a.html"
"1649732786-55","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月7日，新增本土新冠肺炎确诊病例824例 新增本土无症状感染者20398例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者3例 治愈出院57例","https://wsjkw.sh.gov.cn/xwfb/20220408/779c3f24bc7e4f1fb3fef52dbfb51156.html"
"1649732786-62","https://wsjkw.sh.gov.cn/yqtb/index.html","4月3日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://wsjkw.sh.gov.cn/xwfb/20220404/ff41c17c2bec4154b800f22040d3754a.html"
"1649732786-59","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月5日，新增本土新冠肺炎确诊病例311例 新增本土无症状感染者16766例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院41例","https://wsjkw.sh.gov.cn/xwfb/20220406/9873e70ae1d14cdcb2c9b6e8c9f8a8ba.html"
"1649732786-66","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月1日，新增本土新冠肺炎确诊病例260例 新增本土无症状感染者6051例 新增境外输入性新冠肺炎确诊病例2例 无新增境外输入性无症状感染者 治愈出院39例","https://wsjkw.sh.gov.cn/xwfb/20220402/7e9cc0574a4d4ef482c21286762c56fa.html"
"1649732786-56","https://wsjkw.sh.gov.cn/yqtb/index.html","4月6日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/8bljTUplPh1q4MXb6wd_gg"
"1649732786-52","https://wsjkw.sh.gov.cn/yqtb/index.html","4月8日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/79NsKhMHbg09Y0xaybTXjA"
"1649732786-65","https://wsjkw.sh.gov.cn/yqtb/index.html","4月1日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://wsjkw.sh.gov.cn/xwfb/20220402/e4dfcc8e58b14b3e8dab46d60ff6d767.html"
"1649732786-47","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月11日，新增本土新冠肺炎确诊病例994例 新增本土无症状感染者22348例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院391例","https://wsjkw.sh.gov.cn/xwfb/20220412/eaf942f663204853826ee6fc29abbeb8.html"
"1649732786-64","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月2日，新增本土新冠肺炎确诊病例438例 新增本土无症状感染者7788例 新增境外输入性新冠肺炎确诊病例6例 新增境外输入性无症状感染者1例 治愈出院31例","https://wsjkw.sh.gov.cn/xwfb/20220403/58bcd8f1e6ad45c1b190ee81e3c02942.html"
"1649732786-54","https://wsjkw.sh.gov.cn/yqtb/index.html","4月7日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/HTM47mUp0GF-tWXkPeZJlg"
"1649732786-58","https://wsjkw.sh.gov.cn/yqtb/index.html","4月5日（0-24时）本市各区确诊病例、无症状感染者居住地信息","https://mp.weixin.qq.com/s/djwW3S9FUYBE2L5Hj94a3A"
"1649732786-61","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月4日，新增本土新冠肺炎确诊病例268例 新增本土无症状感染者13086例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者2例 治愈出院27例","https://wsjkw.sh.gov.cn/xwfb/20220405/c80df81fd8904247a218904b8b4a124f.html"
"1649732786-53","https://wsjkw.sh.gov.cn/yqtb/index.html","上海2022年4月8日，新增本土新冠肺炎确诊病例1015例 新增本土无症状感染者22609例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者2例 治愈出院119例","https://wsjkw.sh.gov.cn/xwfb/20220409/52eee46f25a64af1a5f4e1ddb72c4324.html"
